2000,Sheffield,Yorkshire and the Humber,A6178,76.2,4818.0
2001,Leeds,Yorkshire and the Humber,A61,74.55555555555556,8151.666666666667
2003,North Yorkshire,Yorkshire and the Humber,A1039,27.5,23360.0
2004,Calderdale,Yorkshire and the Humber,A6107,2.0,0.0
2005,Sheffield,Yorkshire and the Humber,A6178,56.0,2336.0
2007,North Lincolnshire,Yorkshire and the Humber,A1084,23.0,0.0
2008,Doncaster,Yorkshire and the Humber,A18,38.916666666666664,6113.75
2009,East Riding of Yorkshire,Yorkshire and the Humber,A1041,61.0,13687.5
2010,Rotherham,Yorkshire and the Humber,A57,19.857142857142858,730.0
2010,Sheffield,Yorkshire and the Humber,A625,89.33333333333333,74460.0
2012,Bradford,Yorkshire and the Humber,A58,12.0,0.0
2012,Sheffield,Yorkshire and the Humber,A6101,97.33333333333333,26401.666666666668
2013,Rotherham,Yorkshire and the Humber,A633,52.0,16790.0
2014,Barnsley,Yorkshire and the Humber,A61,29.666666666666668,4136.666666666667
2015,East Riding of Yorkshire,Yorkshire and the Humber,A645,9.0,4015.0
2016,Leeds,Yorkshire and the Humber,A659,53.0,12247.777777777777
2016,North Yorkshire,Yorkshire and the Humber,A659,45.833333333333336,7056.666666666667
2016,York,Yorkshire and the Humber,A64,12.75,1490.4166666666667
2001,Wolverhampton,West Midlands,A4124,66.0,24090.0
2002,Dudley,West Midlands,A456,21.5,7847.5
2003,Worcestershire,West Midlands,A4023,5.333333333333333,365.0
2004,Dudley,West Midlands,A4102,16.0,0.0
2006,Warwickshire,West Midlands,A422,37.75,5931.25
2006,Staffordshire,West Midlands,A4091,39.333333333333336,2068.3333333333335
2007,Sandwell,West Midlands,A4182,17.5,0.0
2007,Warwickshire,West Midlands,A4189,12.75,6387.5
2008,Solihull,West Midlands,A34,99.5,19527.5
2008,Walsall,West Midlands,A5,14.0,0.0
2009,Wolverhampton,West Midlands,A4126,68.66666666666667,0.0
2011,Staffordshire,West Midlands,A449,41.25,15147.5
2011,Staffordshire,West Midlands,A453,26.11111111111111,486.6666666666667
2011,Dudley,West Midlands,A4099,25.0,4562.5
2012,Birmingham,West Midlands,A4540,57.76470588235294,0.0
2014,Shropshire,West Midlands,A5191,222.5,81212.5
2016,Coventry,West Midlands,A46,5.0,0.0
2016,Walsall,West Midlands,A4031,48.0,0.0
2001,"Rhondda, Cynon, Taff",Wales,A4233,10.428571428571429,6100.714285714285
2003,Neath Port Talbot,Wales,A4067,15.666666666666666,7056.666666666667
2004,The Vale of Glamorgan,Wales,A48,5.75,7300.0
2004,"Rhondda, Cynon, Taff",Wales,A4222,31.0,7665.0
2005,Monmouthshire,Wales,A4042,13.0,33215.0
2006,Pembrokeshire,Wales,A4139,18.1,4161.0
2007,"Rhondda, Cynon, Taff",Wales,A4223,12.0,0.0
2007,The Vale of Glamorgan,Wales,A4232,1.0,0.0
2008,"Rhondda, Cynon, Taff",Wales,A4059,9.625,5246.875
2010,Powys,Wales,A44,3.3333333333333335,4988.333333333333
2010,Carmarthenshire,Wales,A4138,18.333333333333332,8760.0
2012,Conwy,Wales,A55,8.818181818181818,0.0
2012,Flintshire,Wales,A55,0.8888888888888888,283.8888888888889
2012,Wrexham,Wales,A525,21.444444444444443,3163.3333333333335
2012,Neath Port Talbot,Wales,A4109,7.666666666666667,8151.666666666667
2013,Conwy,Wales,A548,19.666666666666668,15086.666666666666
2013,Flintshire,Wales,A5151,2.0,2920.0
2013,Isle of Anglesey,Wales,A5,34.38461538461539,4913.461538461538
2014,"Rhondda, Cynon, Taff",Wales,A468,46.0,16790.0
2015,Monmouthshire,Wales,A465,7.0,7143.571428571428
2015,Carmarthenshire,Wales,A48,1.75,2098.75
2015,Conwy,Wales,A546,42.25,20896.25
2016,Powys,Wales,A4081,11.0,4623.333333333333
2016,Bridgend,Wales,A4107,10.0,3650.0
2000,North Ayrshire,Scotland,A737,32.61538461538461,4155.384615384615
2000,Glasgow City,Scotland,A74,42.0,5683.571428571428
2000,Dumfries and Galloway,Scotland,A712,4.6,5548.0
2001,West Dunbartonshire,Scotland,A82,20.266666666666666,3698.6666666666665
2001,Dumfries and Galloway,Scotland,A716,6.2,2336.0
2002,Dumfries and Galloway,Scotland,A718,38.4,2190.0
2003,Aberdeenshire,Scotland,A93,6.0,10913.5
2003,Stirling,Scotland,A875,6.5,3467.5
2004,Comhairle nan Eilean Siar,Scotland,A865,4.0,4106.25
2004,Comhairle nan Eilean Siar,Scotland,A867,4.0,7665.0
2004,West Dunbartonshire,Scotland,A812,18.5,0.0
2005,Scottish Borders,Scotland,A7,9.533333333333333,5572.333333333333
2005,West Lothian,Scotland,A89,10.125,4973.125
2005,Dumfries and Galloway,Scotland,A716,6.0,2993.0
2005,South Lanarkshire,Scotland,A721,1.0,2117.0
2005,Glasgow City,Scotland,A749,28.0,7117.5
2006,Fife,Scotland,A92,16.857142857142858,5631.428571428572
2006,Glasgow City,Scotland,A728,59.0,6205.0
2007,Inverclyde,Scotland,A770,42.25,19345.0
2007,Dumfries and Galloway,Scotland,A713,12.222222222222221,689.4444444444445
2007,Highland,Scotland,A890,0.5,3285.0
2007,Clackmannanshire,Scotland,A908,20.0,6813.333333333333
2008,East Lothian,Scotland,A6137,12.333333333333334,2068.3333333333335
2009,Inverclyde,Scotland,A761,2.3333333333333335,1216.6666666666667
2009,Falkirk,Scotland,A977,3.0,0.0
2010,South Lanarkshire,Scotland,A724,23.0,6286.111111111111
2012,Renfrewshire,Scotland,A8,58.6,14454.0
2013,East Dunbartonshire,Scotland,A810,28.0,10220.0
2013,Falkirk,Scotland,A977,46.0,0.0
2014,Stirling,Scotland,A84,6.833333333333333,4562.5
2014,Highland,Scotland,A861,2.3333333333333335,10098.333333333334
2014,Aberdeen City,Scotland,A93,70.16666666666667,16485.833333333332
2014,Glasgow City,Scotland,A728,73.66666666666667,3001.1111111111113
2015,Moray,Scotland,A939,1.5,3832.5
2016,Highland,Scotland,A9,7.029411764705882,6280.14705882353
2001,Oxfordshire,South East,A4074,16.428571428571427,12462.142857142857
2002,Kent,South East,A28,90.34482758620689,12913.448275862069
2003,Surrey,South East,A24,109.5,34720.625
2003,Hampshire,South East,A331,26.142857142857142,573.5714285714286
2004,Hampshire,South East,A326,20.666666666666668,4988.333333333333
2005,Kent,South East,A268,2.5,2555.0
2006,East Sussex,South East,A229,8.0,0.0
2007,East Sussex,South East,A26,29.0,6022.5
2007,East Sussex,South East,A27,14.4,6789.0
2008,Reading,South East,A4155,191.33333333333334,6813.333333333333
2009,Bracknell Forest,South East,A329,85.33333333333333,11071.666666666666
2011,East Sussex,South East,A2270,126.5,46172.5
2011,Kent,South East,A2260,25.25,1825.0
2012,Medway,South East,A231,89.33333333333333,9490.0
2013,Hampshire,South East,A30,19.956521739130434,4364.130434782609
2013,Buckinghamshire,South East,A4010,33.4,14162.0
2013,Medway,South East,A230,104.0,37960.0
2014,Windsor and Maidenhead,South East,A4,169.28571428571428,8707.857142857143
2015,Buckinghamshire,South East,A4020,94.0,0.0
2015,Windsor and Maidenhead,South East,A4130,29.666666666666668,9490.0
2000,East Cheshire,North West,A532,379.3333333333333,128480.0
2000,West Cheshire,North West,A5116,115.0,15512.5
2001,Lancashire,North West,A585,35.333333333333336,5758.888888888889
2001,Cumbria,North West,A5093,15.0,38325.0
2003,Bolton,North West,A6027,19.333333333333332,0.0
2003,West Cheshire,North West,A548,193.5,37047.5
2006,West Cheshire,North West,A559,61.5,24135.625
2006,Tameside,North West,A6140,77.33333333333333,7178.333333333333
2007,Bury,North West,A576,54.0,0.0
